time,NewID,FCH4_count,nbar1,nbar2,nbar3,nbar4,nbar5,nbar6,nbar7,sm_s_wetness,sm_r_wetness,sm_p_wetness,pa,tas,spfh,ts1,ts2,ts3,rsds,rsdl,le,h,dem,slope,cti,spi,FCH4_mean
2016-03-29,CASCC,22,5346.0,5331.0,5063.0,5422.0,2201.0,606.0,303.0,0.586243748664856,0.5933860540390015,0.5652227401733398,97.6358984375,-0.4521545469760895,0.003689177567139268,-3.1127687,-3.3379579,-3.4304261,10591945.3125,23980164.2578125,5.8610120000000006,-10.872267,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,8.227000000000002
2016-03-30,CASCC,39,5331.0,5356.0,5006.0,5402.0,2204.0,826.0,301.0,0.6022517085075378,0.603080153465271,0.5732365846633911,98.384125,-3.2771363258361816,0.0030042328871786594,-2.401404,-2.875342,-3.0829835,13149147.65625,23365457.2265625,38.87716,7.9546113,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,6.546282051282053
2016-03-31,CASCC,38,5425.0,5478.0,5278.0,5472.0,2320.0,753.0,331.0,0.5668181777000427,0.6020331382751465,0.5732243657112122,98.3736875,-5.553228855133057,0.002425658982247114,-2.7101197,-2.5546327,-2.7079225,12011375.390625,21242895.1171875,20.458382,3.991546,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,5.79128947368421
2016-04-01,CASCC,35,5535.0,5565.0,5179.0,5572.0,2413.0,754.0,318.0,0.5514222979545593,0.6022063493728638,0.5736972093582153,98.4235,-6.441961765289308,0.002282479079440236,-2.8243775,-2.8082337,-2.6276307,13045025.390625,21186847.265625,31.833467,4.017178,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,6.5978571428571415
2016-04-02,CASCC,32,5543.0,5573.0,5192.0,5581.0,2423.0,755.0,319.0,0.5438100695610046,0.6019271612167358,0.5737022161483765,97.366828125,-10.227087020874023,0.001727025955915451,-2.7081666,-2.7032228,-2.5610414,5085534.375,22006093.359375,13.351184,2.3734438,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,8.485812500000002
2016-04-03,CASCC,27,5442.0,5476.0,5260.0,5467.0,2218.0,715.0,302.0,0.5383696556091309,0.6017641425132751,0.5737159848213196,98.1290546875,-11.996313095092773,0.0014118264662101865,-3.399115,-2.8786073,-2.5170045,13127865.8203125,19500644.53125,22.094614,10.909039,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,5.400629629629628
2016-04-04,CASCC,34,5462.0,5389.0,5285.0,5511.0,2128.0,523.0,285.0,0.5415948629379272,0.6018241047859192,0.573811948299408,98.0455859375,-6.8943848609924325,0.0022247727029025555,-4.1583924,-3.6028504,-2.7358155,9768480.46875,21639489.2578125,19.147915,5.24808,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,10.250882352941174
2016-04-05,CASCC,42,5499.0,5432.0,5308.0,5541.0,2216.0,524.0,288.0,0.5416074991226196,0.6017780303955078,0.5738111734390259,97.9865859375,-9.939001083374023,0.0017236762214452028,-3.5563111000000003,-3.489355600000001,-2.9226136,9593975.390625,22023472.8515625,20.702549,12.151877,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,8.017000000000001
2016-04-06,CASCC,28,5534.0,5425.0,5194.0,5586.0,2350.0,723.0,300.0,0.5407631397247314,0.601736307144165,0.5737247467041016,97.8898046875,-13.479925155639648,0.0012021319707855582,-3.3981996,-3.16532,-2.8472657000000003,10449390.234375,21086764.453125,20.39211,18.353935,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,4.111249999999999
2016-04-08,CASCC,19,5818.0,5770.0,5464.0,5821.0,3373.0,1004.0,386.0,0.5283887386322021,0.6016356348991394,0.5737111568450928,97.53378125,-7.022161960601808,0.002251519588753581,-4.4492555,-3.8562074,-2.9885926,8210999.70703125,23674348.828125,17.298517,7.635012599999999,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,10.648421052631578
2016-04-09,CASCC,39,5800.0,5827.0,5531.0,5784.0,2609.0,860.0,357.0,0.5268447399139404,0.6015621423721313,0.5737732648849487,97.7793828125,-9.718481063842773,0.0017432792810723186,-3.9082704,-3.7794862,-3.1396546,10804589.6484375,21762831.4453125,27.326761,6.6200347000000015,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,11.122051282051286
2016-04-10,CASCC,38,5803.0,5826.0,5537.0,5789.0,2604.0,860.0,356.0,0.5294420123100281,0.601617157459259,0.5737277865409851,98.533921875,-10.504613876342773,0.0016036522574722767,-3.8136659,-3.5160584000000004,-3.0758119,14624501.66015625,20202106.640625,26.933353000000004,13.906235999999998,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,5.35171052631579
2016-04-11,CASCC,42,5806.0,5824.0,5542.0,5793.0,2598.0,859.0,356.0,0.5264665484428406,0.6016806364059448,0.5737952589988708,97.50409375,-8.002294540405272,0.0020429580472409725,-4.0388246,-3.7092042,-3.0774293,10563908.203125,22115958.3984375,18.52328,8.942518,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,5.731000000000001
